period,referenceId,directorActivityHash,instanceId,mode,modes,isPrivate,membershipType,assists,completed,deaths,kills,opponentsDefeated,efficiency,killsDeathsRatio,killsDeathsAssists,score,activityDurationSeconds,team,completionReason,fireteamId,startSeconds,timePlayedSeconds,playerCount,teamScore
2021-11-19T04:26:34Z,1681562271,1681562271,9622797852,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'completed', 'basic': {'value': 1.0, 'displayValue': 'Yes'}}","{'statId': 'deaths', 'basic': {'value': 13.0, 'displayValue': '13'}}","{'statId': 'kills', 'basic': {'value': 25.0, 'displayValue': '25'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 31.0, 'displayValue': '31'}}","{'statId': 'efficiency', 'basic': {'value': 2.3846153846153846, 'displayValue': '2.38'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.9230769230769231, 'displayValue': '1.92'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 2.1538461538461537, 'displayValue': '2.15'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 1801.0, 'displayValue': '30m 1s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 0.0, 'displayValue': 'Objective Completed'}}","{'statId': 'fireteamId', 'basic': {'value': 1.7097968049791017e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 181.0, 'displayValue': '3m 1s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 1620.0, 'displayValue': '27m 0s'}}","{'statId': 'playerCount', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:55:59Z,3881495763,3881495763,9619831730,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.5, 'displayValue': '0.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 147.0, 'displayValue': '2m 27s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 1.2101780102038367e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 91.0, 'displayValue': '1m 31s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:53:50Z,3881495763,3881495763,9619828671,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 146.0, 'displayValue': '2m 26s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -5.273774486506356e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 111.0, 'displayValue': '1m 51s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:51:48Z,3881495763,3881495763,9619825463,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 5.0, 'displayValue': '5'}}","{'statId': 'efficiency', 'basic': {'value': 5.0, 'displayValue': '5.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 4.0, 'displayValue': '4.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 139.0, 'displayValue': '2m 19s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 5.756764202995789e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 3.0, 'displayValue': '0m 3s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 103.0, 'displayValue': '1m 43s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:49:25Z,3881495763,3881495763,9619822410,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 4.0, 'displayValue': '4'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 6.0, 'displayValue': '6'}}","{'statId': 'efficiency', 'basic': {'value': 6.0, 'displayValue': '6.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 4.0, 'displayValue': '4.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 162.0, 'displayValue': '2m 42s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 3.0877407056423767e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 126.0, 'displayValue': '2m 6s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:47:17Z,3881495763,3881495763,9619819272,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 1.5, 'displayValue': '1.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 144.0, 'displayValue': '2m 24s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 6.779178774021201e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 109.0, 'displayValue': '1m 49s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:45:15Z,3881495763,3881495763,9619816012,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 1.5, 'displayValue': '1.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 139.0, 'displayValue': '2m 19s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -6.45671836489585e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 3.0, 'displayValue': '0m 3s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 102.0, 'displayValue': '1m 42s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:42:54Z,3881495763,3881495763,9619813680,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.5, 'displayValue': '0.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 158.0, 'displayValue': '2m 38s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 2.9038182240123955e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 122.0, 'displayValue': '2m 2s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:40:47Z,3881495763,3881495763,9619809762,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 144.0, 'displayValue': '2m 24s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -3.71684148484177e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 110.0, 'displayValue': '1m 50s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:38:46Z,3881495763,3881495763,9619806791,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'efficiency', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 138.0, 'displayValue': '2m 18s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 3.8788942261538007e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 104.0, 'displayValue': '1m 44s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:36:43Z,3881495763,3881495763,9619804229,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.5, 'displayValue': '0.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 141.0, 'displayValue': '2m 21s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 9.103670010462445e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 106.0, 'displayValue': '1m 46s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:34:32Z,3881495763,3881495763,9619801498,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 1.5, 'displayValue': '1.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 148.0, 'displayValue': '2m 28s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 8.115245430901502e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 113.0, 'displayValue': '1m 53s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:31:44Z,3881495763,3881495763,9619797878,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'efficiency', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 2.5, 'displayValue': '2.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 185.0, 'displayValue': '3m 5s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -6.801985678442284e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 151.0, 'displayValue': '2m 31s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:29:47Z,3881495763,3881495763,9619794380,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 0.0, 'displayValue': '0.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 0.5, 'displayValue': '0.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 135.0, 'displayValue': '2m 15s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 7.00617173239488e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 99.0, 'displayValue': '1m 39s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:27:46Z,3881495763,3881495763,9619791354,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'efficiency', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 138.0, 'displayValue': '2m 18s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 2.0618438578862597e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 104.0, 'displayValue': '1m 44s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:25:51Z,3881495763,3881495763,9619788524,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'efficiency', 'basic': {'value': 2.0, 'displayValue': '2.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 1.5, 'displayValue': '1.50'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 131.0, 'displayValue': '2m 11s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -4.467579510419537e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 96.0, 'displayValue': '1m 36s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:22:51Z,3881495763,3881495763,9619784480,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'kills', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'efficiency', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 1.0, 'displayValue': '1.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 150.0, 'displayValue': '2m 30s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': -4.84951242829368e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 115.0, 'displayValue': '1m 55s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
2021-11-18T08:18:54Z,3881495763,3881495763,9619781438,4,"[7, 4]",False,3,"{'statId': 'assists', 'basic': {'value': 2.0, 'displayValue': '2'}}","{'statId': 'completed', 'basic': {'value': 0.0, 'displayValue': 'No'}}","{'statId': 'deaths', 'basic': {'value': 1.0, 'displayValue': '1'}}","{'statId': 'kills', 'basic': {'value': 3.0, 'displayValue': '3'}}","{'statId': 'opponentsDefeated', 'basic': {'value': 5.0, 'displayValue': '5'}}","{'statId': 'efficiency', 'basic': {'value': 5.0, 'displayValue': '5.00'}}","{'statId': 'killsDeathsRatio', 'basic': {'value': 3.0, 'displayValue': '3.00'}}","{'statId': 'killsDeathsAssists', 'basic': {'value': 4.0, 'displayValue': '4.00'}}","{'statId': 'score', 'basic': {'value': 0.0, 'displayValue': '0'}}","{'statId': 'activityDurationSeconds', 'basic': {'value': 253.0, 'displayValue': '4m 13s'}}","{'statId': 'team', 'basic': {'value': 0.0, 'displayValue': ''}}","{'statId': 'completionReason', 'basic': {'value': 255.0, 'displayValue': 'Unknown'}}","{'statId': 'fireteamId', 'basic': {'value': 1.4551855709693645e+18, 'displayValue': '-2147483648'}}","{'statId': 'startSeconds', 'basic': {'value': 2.0, 'displayValue': '0m 2s'}}","{'statId': 'timePlayedSeconds', 'basic': {'value': 218.0, 'displayValue': '3m 38s'}}","{'statId': 'playerCount', 'basic': {'value': 7.0, 'displayValue': '7'}}","{'statId': 'teamScore', 'basic': {'value': 0.0, 'displayValue': '0'}}"
